"holistic, team-based model featuring daily meetings",scrum
"lightweight, flexible model featuring collaboration between teams",agile
RAD,rapid application development
UP,unified process
XP,extreme programming
agile model featuring frequent releases in short development cycles,extreme programming|XP
cyclical model of repeating development stages,iterative
development build model that produces small changesets,incremental
formal development process focusing on defect prevention,cleanroom
"general framework of models featuring inception, elaboration, construction and transition stages",unified process|UP
making incomplete versions of final product for demonstration,prototyping
models that focus on interactive development rather than rigorous planning,rapid application development|RAD
risk-driven model that blends elements of other models,spiral
sequential model of proceeding in complete stages,waterfall
