keyword for alternate condition,else
keyword for conditional,if
keyword for conditional loop,while
keyword for numbered loop,for
keyword for subroutine or method,function
keyword pair for conditionl loop to execute at least once,do...while
keyword pair for loop to enumerate object properties,for...in
keyword to declare nonglobal,var
keyword to evaluate expression for selecting case block,switch
keyword to exit from case or loop,break
keyword to identify code block within switch,case
keyword to refer to global or current object,this
keyword to skip to next iteration of loop,continue
keyword to terminate function and yield function value,return
